rr,rr_reduced,total_traced,inf_p
2,0,0,5
2,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
2,2,0,5
2,1,0,5
11,10,0,5
1,1,0,5
0,0,0,5
10,1,0,5
3,0,0,5
1,0,0,5
0,0,0,5
0,0,0,5
1,0,0,5
5,0,0,5
0,0,0,5
8,8,0,5
3,3,0,5
5,0,0,5
0,0,0,5
1,1,0,5
3,0,0,5
3,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
3,0,0,5
0,0,0,5
0,0,0,5
1,0,0,5
0,0,0,5
8,6,0,5
0,0,0,5
1,0,0,5
0,0,0,5
1,1,0,5
3,2,0,5
1,1,0,5
0,0,0,5
4,0,0,5
5,4,0,5
2,2,0,5
0,0,0,5
2,0,0,5
0,0,0,5
3,0,0,5
1,0,0,5
0,0,0,5
0,0,0,5
3,0,0,5
3,0,0,5
2,1,0,5
0,0,0,5
0,0,0,5
1,1,0,5
1,1,0,5
1,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
2,0,0,5
1,0,0,5
0,0,0,5
0,0,0,5
2,2,0,5
0,0,0,5
0,0,0,5
1,0,0,5
1,1,0,5
2,0,0,5
1,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
2,1,0,5
0,0,0,5
0,0,0,5
1,1,0,5
2,2,0,5
1,1,0,5
3,1,0,5
0,0,0,5
1,1,0,5
1,0,0,5
0,0,0,5
2,2,0,5
0,0,0,5
0,0,0,5
0,0,0,5
2,0,0,5
2,2,0,5
1,1,0,5
3,1,0,5
2,2,0,5
4,2,0,5
0,0,0,5
1,1,0,5
1,1,0,5
1,1,0,5
4,2,0,5
0,0,0,5
1,1,0,5
1,1,0,5
0,0,0,5
1,0,0,5
1,1,0,5
1,1,0,5
4,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
1,0,0,5
2,1,0,5
3,2,0,5
0,0,0,5
2,2,0,5
1,0,0,5
1,0,0,5
0,0,0,5
0,0,0,5
3,0,0,5
0,0,0,5
7,6,0,5
1,1,0,5
3,1,0,5
2,1,0,5
0,0,0,5
0,0,0,5
5,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
2,2,0,5
2,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
5,2,0,5
1,1,0,5
1,1,0,5
0,0,0,5
0,0,0,5
1,0,0,5
1,0,0,5
2,2,0,5
2,2,0,5
2,0,0,5
1,0,0,5
4,1,0,5
5,1,0,5
1,1,0,5
1,1,0,5
1,1,0,5
1,1,0,5
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
1,1,0,5
3,1,0,5
1,0,0,5
1,1,0,5
2,1,0,5
0,0,0,5
1,1,0,5
2,2,0,5
5,4,0,5
0,0,0,5
0,0,0,5
4,0,0,5
9,0,0,5
2,0,0,5
1,1,0,5
1,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
3,3,0,5
2,1,0,5
7,5,0,5
1,1,0,5
0,0,0,5
2,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
1,0,0,5
3,3,0,5
1,1,0,5
2,0,0,5
2,2,0,5
1,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
0,0,0,5
2,0,0,5
1,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
2,2,0,5
0,0,0,5
2,0,0,5
1,1,0,5
1,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
4,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
2,1,0,5
2,2,0,5
1,1,0,5
4,4,0,5
1,1,0,5
5,2,0,5
2,1,0,5
1,0,0,5
0,0,0,5
2,0,0,5
0,0,0,5
1,1,0,5
1,0,0,5
0,0,0,5
2,1,0,5
2,1,0,5
1,0,0,5
3,1,0,5
1,1,0,5
4,0,0,5
5,5,0,5
2,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
0,0,0,5
2,2,0,5
3,1,0,5
1,1,0,5
1,1,0,5
0,0,0,5
0,0,0,5
2,0,0,5
0,0,0,5
0,0,0,5
7,1,0,5
2,0,0,5
0,0,0,5
5,0,0,5
0,0,0,5
1,1,0,5
1,0,0,5
3,3,0,5
1,0,0,5
2,2,0,5
0,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
1,0,0,5
1,1,0,5
3,2,0,5
1,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
2,0,0,5
0,0,0,5
2,0,0,5
0,0,0,5
9,0,0,5
0,0,0,5
4,0,0,5
0,0,0,5
3,3,0,5
3,3,0,5
1,1,0,5
4,0,0,5
1,0,0,5
1,0,0,5
2,0,0,5
0,0,0,5
1,0,0,5
1,0,0,5
2,2,0,5
6,0,0,5
4,4,0,5
1,0,0,5
10,0,0,5
0,0,0,5
0,0,0,5
1,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
1,1,0,5
3,0,0,5
2,1,0,5
1,1,0,5
0,0,0,5
0,0,0,5
2,2,0,5
5,3,0,5
3,3,0,5
9,0,0,5
0,0,0,5
1,1,0,5
2,1,0,5
15,0,0,5
1,1,0,5
1,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
3,0,0,5
1,1,0,5
1,0,0,5
2,0,0,5
3,0,0,5
1,0,0,5
0,0,0,5
1,1,0,5
1,1,0,5
0,0,0,5
0,0,0,5
1,0,0,5
0,0,0,5
0,0,0,5
3,3,0,5
0,0,0,5
0,0,0,5
4,1,0,5
0,0,0,5
8,0,0,5
1,1,0,5
1,1,0,5
2,2,0,5
0,0,0,5
0,0,0,5
2,0,0,5
5,5,0,5
1,0,0,5
1,0,0,5
0,0,0,5
1,1,0,5
2,2,0,5
0,0,0,5
1,1,0,5
2,2,0,5
0,0,0,5
3,1,0,5
0,0,0,5
2,2,0,5
0,0,0,5
1,0,0,5
1,1,0,5
1,1,0,5
0,0,0,5
0,0,0,5
8,6,0,5
2,1,0,5
1,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
4,1,0,5
0,0,0,5
2,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
2,2,0,5
3,3,0,5
1,1,0,5
4,0,0,5
3,3,0,5
1,1,0,5
3,2,0,5
2,2,0,5
0,0,0,5
1,1,0,5
5,0,0,5
1,0,0,5
3,3,0,5
0,0,0,5
1,1,0,5
4,4,0,5
1,0,0,5
2,2,0,5
2,2,0,5
1,0,0,5
2,1,0,5
0,0,0,5
1,0,0,5
0,0,0,5
2,2,0,5
4,4,0,5
2,1,0,5
0,0,0,5
0,0,0,5
4,1,0,5
1,1,0,5
1,0,0,5
0,0,0,5
2,2,0,5
0,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
1,1,0,5
7,7,0,5
1,1,0,5
0,0,0,5
1,0,0,5
2,0,0,5
8,8,0,5
1,1,0,5
0,0,0,5
1,0,0,5
1,1,0,5
2,0,0,5
1,1,0,5
3,3,0,5
1,1,0,5
3,0,0,5
7,6,0,5
1,1,0,5
0,0,0,5
2,2,0,5
7,7,0,5
0,0,0,5
2,0,0,5
1,1,0,5
0,0,0,5
1,0,0,5
0,0,0,5
3,1,0,5
0,0,0,5
0,0,0,5
4,3,0,5
0,0,0,5
10,0,0,5
1,1,0,5
2,0,0,5
7,0,0,5
1,0,0,5
1,1,0,5
0,0,0,5
2,0,0,5
2,0,0,5
0,0,0,5
0,0,0,5
3,3,0,5
1,1,0,5
3,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
8,1,0,5
5,5,0,5
1,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
4,1,0,5
0,0,0,5
0,0,0,5
3,1,0,5
0,0,0,5
0,0,0,5
1,1,0,5
2,1,0,5
0,0,0,5
0,0,0,5
2,0,0,5
1,0,0,5
0,0,0,5
1,0,0,5
2,2,0,5
0,0,0,5
3,1,0,5
1,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
3,2,0,5
26,0,0,5
2,2,0,5
2,2,0,5
1,0,0,5
0,0,0,5
0,0,0,5
1,0,0,5
4,4,0,5
0,0,0,5
1,1,0,5
0,0,0,5
2,1,0,5
0,0,0,5
1,1,0,5
0,0,0,5
2,1,0,5
1,1,0,5
1,1,0,5
1,1,0,5
1,0,0,5
0,0,0,5
0,0,0,5
2,1,0,5
1,1,0,5
1,0,0,5
1,1,0,5
2,1,0,5
6,1,0,5
0,0,0,5
1,1,0,5
1,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
1,1,0,5
5,0,0,5
1,0,0,5
2,1,0,5
1,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
2,0,0,5
1,1,0,5
1,1,0,5
0,0,0,5
1,1,0,5
1,1,0,5
1,0,0,5
1,1,0,5
1,1,0,5
7,0,0,5
1,1,0,5
7,0,0,5
2,0,0,5
0,0,0,5
12,1,0,5
0,0,0,5
1,0,0,5
7,1,0,5
3,2,0,5
2,2,0,5
0,0,0,5
0,0,0,5
1,1,0,5
2,0,0,5
3,2,0,5
0,0,0,5
3,2,0,5
2,0,0,5
0,0,0,5
0,0,0,5
2,1,0,5
1,1,0,5
14,14,0,5
0,0,0,5
1,1,0,5
2,1,0,5
3,2,0,5
2,2,0,5
1,0,0,5
0,0,0,5
3,1,0,5
1,1,0,5
2,0,0,5
1,1,0,5
2,1,0,5
0,0,0,5
2,0,0,5
3,1,0,5
1,1,0,5
1,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
2,2,0,5
6,1,0,5
1,0,0,5
0,0,0,5
1,0,0,5
10,1,0,5
0,0,0,5
11,1,0,5
1,1,0,5
1,1,0,5
1,1,0,5
1,1,0,5
3,3,0,5
1,1,0,5
5,1,0,5
0,0,0,5
1,1,0,5
1,1,0,5
0,0,0,5
1,0,0,5
0,0,0,5
1,1,0,5
3,2,0,5
1,0,0,5
0,0,0,5
4,0,0,5
0,0,0,5
1,1,0,5
3,0,0,5
0,0,0,5
0,0,0,5
1,0,0,5
0,0,0,5
1,0,0,5
1,0,0,5
1,1,0,5
0,0,0,5
2,1,0,5
0,0,0,5
1,1,0,5
2,0,0,5
1,1,0,5
3,3,0,5
1,1,0,5
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
2,2,0,5
1,1,0,5
1,1,0,5
6,6,0,5
0,0,0,5
4,0,0,5
1,0,0,5
0,0,0,5
1,1,0,5
4,4,0,5
6,6,0,5
3,0,0,5
0,0,0,5
0,0,0,5
3,0,0,5
1,1,0,5
1,0,0,5
4,2,0,5
8,1,0,5
0,0,0,5
3,3,0,5
2,1,0,5
1,0,0,5
1,1,0,5
2,0,0,5
1,1,0,5
1,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
2,1,0,5
0,0,0,5
1,1,0,5
3,3,0,5
0,0,0,5
1,0,0,5
0,0,0,5
2,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
1,1,0,5
1,1,0,5
0,0,0,5
2,0,0,5
0,0,0,5
2,2,0,5
0,0,0,5
0,0,0,5
2,2,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
5,1,0,5
3,3,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
4,0,0,5
0,0,0,5
0,0,0,5
3,0,0,5
0,0,0,5
2,2,0,5
0,0,0,5
6,6,0,5
1,0,0,5
2,2,0,5
2,0,0,5
2,2,0,5
0,0,0,5
1,0,0,5
0,0,0,5
1,1,0,5
1,0,0,5
2,2,0,5
0,0,0,5
0,0,0,5
2,2,0,5
0,0,0,5
2,1,0,5
1,1,0,5
3,0,0,5
0,0,0,5
5,1,0,5
1,0,0,5
2,2,0,5
3,3,0,5
0,0,0,5
2,2,0,5
1,1,0,5
2,1,0,5
0,0,0,5
3,3,0,5
0,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
1,0,0,5
0,0,0,5
0,0,0,5
2,2,0,5
3,0,0,5
3,0,0,5
1,1,0,5
0,0,0,5
13,13,0,5
2,0,0,5
1,1,0,5
1,1,0,5
3,3,0,5
1,1,0,5
1,1,0,5
5,5,0,5
0,0,0,5
10,10,0,5
1,0,0,5
0,0,0,5
2,2,0,5
0,0,0,5
2,1,0,5
2,1,0,5
0,0,0,5
2,0,0,5
0,0,0,5
2,1,0,5
3,3,0,5
0,0,0,5
1,1,0,5
3,1,0,5
5,5,0,5
2,2,0,5
2,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
1,0,0,5
12,1,0,5
4,2,0,5
0,0,0,5
1,0,0,5
0,0,0,5
2,0,0,5
5,2,0,5
1,0,0,5
0,0,0,5
0,0,0,5
1,0,0,5
4,1,0,5
0,0,0,5
0,0,0,5
1,1,0,5
3,1,0,5
2,0,0,5
4,4,0,5
4,2,0,5
0,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
2,1,0,5
2,0,0,5
2,2,0,5
3,3,0,5
2,2,0,5
3,2,0,5
0,0,0,5
1,1,0,5
0,0,0,5
3,3,0,5
2,2,0,5
0,0,0,5
1,0,0,5
1,1,0,5
1,1,0,5
8,0,0,5
2,2,0,5
1,0,0,5
0,0,0,5
1,0,0,5
1,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
3,0,0,5
2,1,0,5
3,3,0,5
4,4,0,5
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
13,13,0,5
1,0,0,5
1,1,0,5
4,1,0,5
0,0,0,5
0,0,0,5
1,1,0,5
10,8,0,5
1,1,0,5
1,1,0,5
0,0,0,5
2,2,0,5
1,1,0,5
1,0,0,5
2,1,0,5
1,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
2,2,0,5
0,0,0,5
1,1,0,5
0,0,0,5
3,2,0,5
0,0,0,5
0,0,0,5
2,2,0,5
0,0,0,5
3,0,0,5
3,1,0,5
2,0,0,5
1,1,0,5
3,1,0,5
0,0,0,5
2,0,0,5
2,1,0,5
1,1,0,5
1,0,0,5
0,0,0,5
6,0,0,5
1,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
3,2,0,5
0,0,0,5
1,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
4,0,0,5
0,0,0,5
1,1,0,5
3,3,0,5
0,0,0,5
0,0,0,5
1,1,0,5
1,0,0,5
1,1,0,5
1,0,0,5
2,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
1,1,0,5
2,2,0,5
1,0,0,5
0,0,0,5
6,5,0,5
0,0,0,5
1,0,0,5
3,1,0,5
0,0,0,5
0,0,0,5
3,3,0,5
0,0,0,5
3,1,0,5
2,0,0,5
0,0,0,5
4,3,0,5
5,5,0,5
2,2,0,5
1,0,0,5
0,0,0,5
2,1,0,5
0,0,0,5
3,3,0,5
3,1,0,5
2,1,0,5
1,1,0,5
1,1,0,5
1,1,0,5
3,3,0,5
1,0,0,5
3,0,0,5
1,1,0,5
0,0,0,5
1,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
3,3,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
1,1,0,5
0,0,0,5
1,1,0,5
1,1,0,5
0,0,0,5
3,0,0,5
2,2,0,5
4,4,0,5
1,1,0,5
0,0,0,5
0,0,0,5
2,2,0,5
0,0,0,5
0,0,0,5
1,0,0,5
2,2,0,5
1,1,0,5
1,1,0,5
2,2,0,5
3,1,0,5
0,0,0,5
1,1,0,5
0,0,0,5
1,0,0,5
0,0,0,5
2,2,0,5
0,0,0,5
0,0,0,5
1,1,0,5
5,5,0,5
2,2,0,5
2,2,0,5
3,0,0,5
0,0,0,5
2,1,0,5
2,2,0,5
1,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
2,2,0,5
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
2,1,0,5
0,0,0,5
2,1,0,5
2,0,0,5
1,1,0,5
1,1,0,5
1,1,0,5
0,0,0,5
0,0,0,5
1,1,0,5
1,1,0,5
1,0,0,5
2,2,0,5
0,0,0,5
1,1,0,5
0,0,0,5
3,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
3,1,0,5
0,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
2,0,0,5
4,1,0,5
2,1,0,5
4,2,0,5
1,1,0,5
2,1,0,5
1,0,0,5
0,0,0,5
4,4,0,5
0,0,0,5
1,0,0,5
2,1,0,5
0,0,0,5
0,0,0,5
3,2,0,5
0,0,0,5
0,0,0,5
0,0,0,5
4,4,0,5
1,0,0,5
4,1,0,5
3,0,0,5
0,0,0,5
2,2,0,5
0,0,0,5
0,0,0,5
2,0,0,5
2,2,0,5
4,0,0,5
2,1,0,5
2,1,0,5
0,0,0,5
6,0,0,5
0,0,0,5
1,1,0,5
6,6,0,5
3,0,0,5
0,0,0,5
2,2,0,5
0,0,0,5
0,0,0,5
11,10,0,5
1,1,0,5
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
3,3,0,5
0,0,0,5
0,0,0,5
3,1,0,5
1,0,0,5
0,0,0,5
0,0,0,5
4,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
3,3,0,5
0,0,0,5
1,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
3,0,0,5
0,0,0,5
0,0,0,5
1,0,0,5
0,0,0,5
1,1,0,5
5,0,0,5
2,2,0,5
3,3,0,5
2,2,0,5
1,1,0,5
1,1,0,5
2,0,0,5
3,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
1,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
3,3,0,5
0,0,0,5
2,1,0,5
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
4,2,0,5
0,0,0,5
2,2,0,5
4,0,0,5
1,1,0,5
2,2,0,5
5,5,0,5
3,2,0,5
1,0,0,5
0,0,0,5
0,0,0,5
2,1,0,5
0,0,0,5
1,0,0,5
1,1,0,5
0,0,0,5
2,0,0,5
2,2,0,5
8,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
1,0,0,5
4,4,0,5
2,2,0,5
6,2,0,5
11,1,0,5
1,1,0,5
4,4,0,5
1,0,0,5
3,3,0,5
0,0,0,5
0,0,0,5
1,1,0,5
1,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
3,3,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
2,2,0,5
0,0,0,5
0,0,0,5
1,0,0,5
1,1,0,5
1,1,0,5
2,2,0,5
2,2,0,5
1,1,0,5
3,0,0,5
0,0,0,5
0,0,0,5
2,0,0,5
3,3,0,5
0,0,0,5
0,0,0,5
2,2,0,5
0,0,0,5
3,3,0,5
4,4,0,5
10,1,0,5
0,0,0,5
2,0,0,5
2,1,0,5
2,0,0,5
1,1,0,5
1,1,0,5
0,0,0,5
2,0,0,5
1,1,0,5
3,3,0,5
1,1,0,5
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
2,1,0,5
1,1,0,5
9,0,0,5
0,0,0,5
4,3,0,5
1,0,0,5
2,0,0,5
4,3,0,5
0,0,0,5
1,0,0,5
1,0,0,5
1,1,0,5
0,0,0,5
5,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
2,2,0,5
2,1,0,5
2,2,0,5
3,3,0,5
0,0,0,5
2,1,0,5
1,1,0,5
0,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
2,1,0,5
3,0,0,5
3,3,0,5
3,1,0,5
5,2,0,5
0,0,0,5
4,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
2,2,0,5
1,1,0,5
1,0,0,5
0,0,0,5
0,0,0,5
2,0,0,5
1,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
4,3,0,5
1,1,0,5
0,0,0,5
2,0,0,5
2,1,0,5
4,0,0,5
4,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
2,1,0,5
0,0,0,5
3,3,0,5
1,1,0,5
2,2,0,5
1,1,0,5
0,0,0,5
0,0,0,5
1,1,0,5
2,1,0,5
2,0,0,5
0,0,0,5
4,3,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
3,1,0,5
4,1,0,5
6,6,0,5
1,1,0,5
1,0,0,5
1,1,0,5
1,0,0,5
2,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
1,0,0,5
19,3,0,5
2,2,0,5
1,1,0,5
1,1,0,5
5,0,0,5
2,2,0,5
0,0,0,5
0,0,0,5
1,1,0,5
4,2,0,5
1,0,0,5
0,0,0,5
1,1,0,5
2,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
2,2,0,5
0,0,0,5
0,0,0,5
0,0,0,5
2,2,0,5
5,0,0,5
5,5,0,5
1,1,0,5
1,0,0,5
1,1,0,5
0,0,0,5
7,0,0,5
10,10,0,5
1,0,0,5
3,2,0,5
0,0,0,5
1,1,0,5
0,0,0,5
2,0,0,5
1,1,0,5
1,1,0,5
3,3,0,5
0,0,0,5
1,0,0,5
2,1,0,5
2,2,0,5
1,0,0,5
1,1,0,5
19,19,0,5
1,1,0,5
0,0,0,5
0,0,0,5
2,1,0,5
0,0,0,5
1,0,0,5
4,1,0,5
2,2,0,5
3,2,0,5
1,1,0,5
0,0,0,5
4,4,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
2,2,0,5
7,1,0,5
0,0,0,5
2,0,0,5
1,1,0,5
1,1,0,5
0,0,0,5
0,0,0,5
3,3,0,5
0,0,0,5
1,1,0,5
0,0,0,5
2,2,0,5
0,0,0,5
0,0,0,5
6,6,0,5
5,0,0,5
0,0,0,5
0,0,0,5
7,5,0,5
0,0,0,5
0,0,0,5
0,0,0,5
3,2,0,5
3,0,0,5
4,1,0,5
0,0,0,5
2,0,0,5
2,2,0,5
0,0,0,5
4,3,0,5
2,1,0,5
1,1,0,5
0,0,0,5
2,1,0,5
1,0,0,5
3,3,0,5
1,1,0,5
0,0,0,5
1,1,0,5
3,2,0,5
4,0,0,5
0,0,0,5
1,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
3,1,0,5
2,2,0,5
5,3,0,5
1,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
4,2,0,5
6,1,0,5
0,0,0,5
2,1,0,5
1,0,0,5
2,0,0,5
1,0,0,5
0,0,0,5
1,0,0,5
0,0,0,5
1,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,0,0,5
1,0,0,5
